image,caption,subset,num_ratings,ratings,rating_2,rating_3,rating_4,rating_5,rating_6,rating_7
http://images.cocodataset.org/val2014/COCO_val2014_000000000192.jpg,a baseball player throwing a pitch from the mound,train,4,4,3,4,3,,,
http://images.cocodataset.org/val2014/COCO_val2014_000000000257.jpg,a group of people that are next to each other .,test,4,3,3,4,3,,,
http://images.cocodataset.org/val2014/COCO_val2014_000000000357.jpg,a group of baseball players on a field,test,4,4,3,5,4,,,
http://images.cocodataset.org/val2014/COCO_val2014_000000000397.jpg,A cheesy pizza sitting on top of a table.,train,4,5,5,5,4,,,
http://images.cocodataset.org/val2014/COCO_val2014_000000000520.jpg,A blurred tennis player behind the close up of a net.,val,4,1,1,1,1,,,
http://images.cocodataset.org/val2014/COCO_val2014_000000000589.jpg,a man is wearing a hat and a blue shirt .,val,5,1,3,2,2,2,,
http://images.cocodataset.org/val2014/COCO_val2014_000000000626.jpg,a large building with a clock tower in the background .,train,5,5,4,4,4,4,,
http://images.cocodataset.org/val2014/COCO_val2014_000000000641.jpg,A bus that is sitting in the street.,train,5,4,4,4,4,5,,
http://images.cocodataset.org/val2014/COCO_val2014_000000000641.jpg,a white bus driving down a city street,train,5,5,4,5,4,5,,
http://images.cocodataset.org/val2014/COCO_val2014_000000000699.jpg,a fogy picture with a red light in the back ground,train,5,3,4,5,5,5,,
http://images.cocodataset.org/val2014/COCO_val2014_000000000757.jpg,A young person standing on a snow covered ground while wearing skies.,train,5,1,1,1,1,1,,
http://images.cocodataset.org/val2014/COCO_val2014_000000000761.jpg,a group of people on skis in the snow,val,5,4,4,5,4,4,,
http://images.cocodataset.org/val2014/COCO_val2014_000000000772.jpg,there are three she eps standing together on the grass,train,4,5,4,4,4,,,
http://images.cocodataset.org/val2014/COCO_val2014_000000000776.jpg,A man wearing headphones using a computer at a cyber cafe.,val,5,1,1,1,1,1,,
http://images.cocodataset.org/val2014/COCO_val2014_000000000802.jpg,a white and black bathroom with a wooden floor .,train,4,2,1,2,2,,,
http://images.cocodataset.org/val2014/COCO_val2014_000000000831.jpg,a man is standing in front of a large statue .,test,5,2,2,2,2,3,,
http://images.cocodataset.org/val2014/COCO_val2014_000000000885.jpg,a man is playing a game on a court .,test,5,4,3,5,4,5,,
http://images.cocodataset.org/val2014/COCO_val2014_000000000939.jpg,A few people are participating in water sports and some are in a boat. ,train,4,1,1,1,1,,,
http://images.cocodataset.org/val2014/COCO_val2014_000000000999.jpg,Two zebras nuzzle together in a wooded area. ,train,5,1,1,1,1,1,,
http://images.cocodataset.org/val2014/COCO_val2014_000000001063.jpg,a giraffe standing next to a wooden fence,train,5,4,5,4,4,4,,
http://images.cocodataset.org/val2014/COCO_val2014_000000001138.jpg,a room with a fireplace and a table in the middle of it .,train,6,3,3,3,5,4,3,
http://images.cocodataset.org/val2014/COCO_val2014_000000001153.jpg,a bunch of bananas sitting on a plate,train,4,4,4,5,5,,,
http://images.cocodataset.org/val2014/COCO_val2014_000000001171.jpg,An antique train engine stands proudly in the glow of late afternoon light.,train,5,5,3,5,5,5,,
http://images.cocodataset.org/val2014/COCO_val2014_000000001290.jpg,A baby in high chair with bib and cake.,train,4,5,4,4,4,,,
